(47.50912, 19.17974)
(47.50915, 19.17991)
(47.50918, 19.18009)
(47.50921, 19.18026)
(47.50924, 19.18043)
(47.50927, 19.1806)
(47.5093, 19.18077)
(47.50933, 19.18095)
(47.50936, 19.18112)
(47.50939, 19.18129)
(47.50942, 19.18146)
(47.50945, 19.18163)
(47.50948, 19.1818)
(47.50951, 19.18198)
(47.50954, 19.18215)
(47.50957, 19.18232)
(47.5096, 19.18249)
(47.50963, 19.18266)
(47.50966, 19.18283)
(47.50969, 19.18301)
(47.50972, 19.18318)
(47.50975, 19.18335)
(47.50978, 19.18352)
(47.50982, 19.18369)
(47.50985, 19.18386)
(47.50988, 19.18403)
(47.50991, 19.1842)
(47.50994, 19.18437)
(47.50997, 19.18454)
(47.51, 19.18472)
(47.51003, 19.18489)
(47.51006, 19.18506)
(47.51009, 19.18523)
(47.51012, 19.1854)
(47.51015, 19.18557)
(47.51018, 19.18574)
(47.51021, 19.18592)
(47.51024, 19.18609)
(47.51027, 19.18626)
(47.5103, 19.18643)
(47.51033, 19.1866)
(47.51036, 19.18677)
(47.51039, 19.18695)
(47.51042, 19.18712)
(47.51045, 19.18729)
(47.5105, 19.18755)
(47.51053, 19.18772)
(47.51056, 19.1879)
(47.51059, 19.18807)
(47.51062, 19.18825)
(47.51065, 19.18842)
(47.51068, 19.1886)
(47.51071, 19.18877)
(47.51075, 19.18895)
(47.51078, 19.18913)
(47.51081, 19.18931)
(47.51084, 19.1895)
(47.51089, 19.18978)
(47.51093, 19.18997)
(47.51096, 19.19016)
(47.51099, 19.19034)
(47.51102, 19.19053)
(47.51106, 19.19071)
(47.51109, 19.19091)
(47.51113, 19.19111)
(47.51117, 19.19133)
(47.5112, 19.19153)
(47.51124, 19.19174)
(47.51128, 19.19194)
(47.51131, 19.19213)
(47.51135, 19.19232)
(47.51139, 19.1925)
(47.51143, 19.19268)
(47.51147, 19.19285)
(47.51152, 19.19301)
(47.51157, 19.19318)
(47.51161, 19.19334)
(47.51166, 19.1935)
(47.51171, 19.19366)
(47.51176, 19.19381)
(47.5118, 19.19397)
(47.51184, 19.19409)
(47.51185, 19.19413)
(47.5119, 19.19428)
(47.51194, 19.19443)
(47.51199, 19.19458)
(47.51203, 19.19473)
(47.51208, 19.19488)
(47.51212, 19.19502)
(47.51217, 19.19517)
(47.51221, 19.19531)
(47.51225, 19.19545)
(47.5123, 19.19559)
(47.51233, 19.19571)
(47.51238, 19.19585)
(47.51242, 19.196)
(47.51246, 19.19613)
(47.51251, 19.19628)
(47.51254, 19.19641)
(47.51259, 19.19655)
(47.51264, 19.19671)
(47.51269, 19.19689)
(47.51274, 19.19707)
(47.5128, 19.19724)
(47.51285, 19.19742)
(47.5129, 19.1976)
(47.51296, 19.19777)
(47.51301, 19.19794)
(47.51306, 19.19812)
(47.51312, 19.19829)
(47.51317, 19.19846)
(47.51322, 19.19864)
(47.51328, 19.19881)
(47.51333, 19.19897)
(47.51338, 19.19915)
(47.51344, 19.19931)
(47.51349, 19.19948)
(47.51353, 19.19961)
(47.51354, 19.19965)
(47.51359, 19.19982)
(47.51365, 19.19998)
(47.5137, 19.20015)
(47.51374, 19.2003)
(47.51379, 19.20045)
(47.51384, 19.20059)
(47.51388, 19.20073)
(47.51392, 19.20087)
(47.51396, 19.201)
(47.514, 19.20113)
(47.51404, 19.20126)
(47.51408, 19.2014)
(47.51413, 19.20154)
(47.51417, 19.20169)
(47.5144, 19.20242)
(47.51446, 19.2026)
(47.51451, 19.20278)
(47.51457, 19.20296)
(47.51463, 19.20315)
(47.51468, 19.20333)
(47.51474, 19.20351)
(47.51479, 19.20369)
(47.51485, 19.20387)
(47.51491, 19.20405)
(47.51496, 19.20423)
(47.51502, 19.20442)
(47.51507, 19.20459)
(47.51513, 19.20477)
(47.51518, 19.20495)
(47.51524, 19.20512)
(47.51529, 19.2053)
(47.51534, 19.20547)
(47.5154, 19.20564)
(47.51545, 19.20581)
(47.5155, 19.20598)
(47.51556, 19.20615)
(47.51561, 19.20633)
(47.51566, 19.2065)
(47.51572, 19.20667)
(47.51577, 19.20684)
(47.51582, 19.207)
(47.51586, 19.20715)
(47.51591, 19.20729)
(47.51595, 19.20742)
(47.51595, 19.20743)
(47.51599, 19.20756)
(47.51603, 19.20769)
(47.51608, 19.20783)
(47.51612, 19.20797)
(47.51616, 19.20812)
(47.51621, 19.20827)
(47.51626, 19.20842)
(47.51631, 19.20858)
(47.51636, 19.20874)
(47.51641, 19.2089)
(47.51646, 19.20907)
(47.51651, 19.20923)
(47.51656, 19.20939)
(47.51661, 19.20956)
(47.51666, 19.20971)
(47.51671, 19.20987)
(47.51675, 19.21003)
(47.5168, 19.21019)
(47.51685, 19.21034)
(47.5169, 19.2105)
(47.51695, 19.21065)
(47.517, 19.21081)
(47.51704, 19.21096)
(47.51709, 19.21111)
(47.51714, 19.21127)
(47.51719, 19.21143)
(47.51724, 19.21159)
(47.51729, 19.21175)
(47.51734, 19.21191)
(47.51739, 19.21208)
(47.51744, 19.21224)
(47.51749, 19.21241)
(47.51755, 19.21259)
(47.5176, 19.21277)
(47.51766, 19.21294)
(47.51771, 19.21312)
(47.51777, 19.2133)
(47.51782, 19.21349)
(47.51788, 19.21367)
(47.51794, 19.21385)
(47.51799, 19.21403)
(47.51805, 19.21421)
(47.51812, 19.21437)
(47.51818, 19.21453)
(47.51824, 19.21468)
(47.51831, 19.21482)
(47.51837, 19.21497)
(47.51843, 19.21512)
(47.5185, 19.21527)
(47.51856, 19.21542)
(47.51863, 19.21557)
(47.51869, 19.21572)
(47.51876, 19.21587)
(47.51882, 19.21603)
(47.51889, 19.21618)
(47.51895, 19.21633)
(47.51902, 19.21648)
(47.51908, 19.21664)
(47.51915, 19.21679)
(47.51921, 19.21694)
(47.51928, 19.2171)
(47.51935, 19.21725)
(47.51941, 19.21741)
(47.51943, 19.21745)
(47.51948, 19.21756)
(47.51954, 19.2177)
(47.51959, 19.21783)
(47.51964, 19.21794)
(47.51971, 19.2181)
(47.51977, 19.21825)
(47.51984, 19.2184)
(47.5199, 19.21854)
(47.51996, 19.21869)
(47.52001, 19.21881)
(47.52007, 19.21893)
(47.52012, 19.21907)
(47.52019, 19.21922)
(47.52025, 19.21937)
(47.52032, 19.21952)
(47.52038, 19.21967)
(47.52045, 19.21981)
(47.52052, 19.21994)
(47.52059, 19.22007)
(47.52066, 19.22019)
(47.52074, 19.22031)
(47.52081, 19.22044)
(47.52089, 19.22056)
(47.52097, 19.22069)
(47.52105, 19.22083)
(47.52112, 19.22096)
(47.52121, 19.22109)
(47.52129, 19.22122)
(47.52137, 19.22136)
(47.52145, 19.2215)
(47.52153, 19.22163)
(47.52161, 19.22177)
(47.52169, 19.2219)
(47.52178, 19.22204)
(47.52186, 19.22217)
(47.52194, 19.22231)
(47.52202, 19.22244)
(47.5221, 19.22257)
(47.52218, 19.22271)
(47.52226, 19.22284)
(47.52234, 19.22296)
(47.52242, 19.22309)
